Axial strain,Vol strain,sigma 1,sigma 3,p,q,e,eta,epQ,D,ec,psi
13.23456787,-1.481504926,2252.259819,516.9631343,1095.395363,1735.296685,0.764763371,1.584173847,13.72840285,-0.186623078,0.79436265,-0.029599279
13.47453287,-1.531357002,2246.34437,516.8605412,1093.355151,1729.483829,0.765630298,1.5818134,13.9849852,-0.185108073,0.794515358,-0.02888506
13.73327789,-1.579400725,2245.24585,516.8751845,1092.99874,1728.370666,0.766465779,1.581310758,14.2597448,-0.182628032,0.794542053,-0.028076275
13.97857094,-1.628052379,2240.739377,516.623598,1091.328858,1724.115779,0.767311831,1.579831567,14.52125507,-0.179127153,0.7946672,-0.027355369
14.23101304,-1.675279999,2235.606123,516.9161495,1089.812807,1718.689974,0.768133119,1.577050629,14.7894397,-0.177456056,0.79478092,-0.026647801
14.47221654,-1.721417575,2231.271475,516.9499658,1088.390469,1714.321509,0.768935452,1.57509787,15.0460224,-0.172916869,0.794887701,-0.025952249
14.72964948,-1.76732925,2227.836486,517.0872001,1087.336962,1710.749285,0.769733856,1.573338666,15.31875923,-0.172775025,0.794966847,-0.025232992
14.98363052,-1.812474004,2224.46432,517.3413491,1086.382339,1707.122971,0.770518923,1.571383213,15.58778852,-0.170598352,0.795038606,-0.024519683
15.22280458,-1.857108623,2219.721408,516.9850465,1084.563834,1702.736361,0.771295119,1.569973392,15.84184079,-0.167134626,0.795175411,-0.023880292
15.46370765,-1.900763003,2214.598069,517.2178148,1083.011233,1697.380255,0.772054269,1.567278531,16.09729532,-0.16519838,0.795292324,-0.023238056
15.72415103,-1.943351358,2210.002401,517.0403528,1081.361035,1692.962048,0.77279488,1.565584474,16.37193482,-0.161968856,0.795416701,-0.022621821
15.97118536,-1.98512361,2205.124978,517.3149386,1079.918285,1687.81004,0.7735213,1.562905326,16.63289323,-0.156136852,0.795525539,-0.022004239
16.21179414,-2.026436054,2200.009454,517.0971854,1078.067942,1682.912269,0.774239723,1.56104472,16.88727282,-0.15394761,0.795665257,-0.021425534
16.46923933,-2.066383368,2193.625005,517.0314695,1075.895981,1676.593535,0.774934407,1.558323076,17.15803379,-0.151611516,0.795829449,-0.020895042
16.72810085,-2.106267202,2187.028072,516.8868026,1073.600559,1670.14127,0.775627987,1.555644933,17.43018992,-0.148718447,0.796003199,-0.020375212
16.9711376,-2.144797345,2183.289565,517.4608843,1072.737111,1665.828681,0.776298026,1.552876901,17.68607005,-0.146515466,0.796068616,-0.01977059
17.20981503,-2.182601745,2177.710927,516.9215542,1070.518012,1660.789373,0.776955444,1.551388538,17.93734895,-0.144988225,0.796236891,-0.019281447
17.4675484,-2.220161371,2170.08042,516.5604649,1067.733783,1653.519955,0.777608606,1.548625679,18.20760219,-0.141728916,0.796448327,-0.01883972
17.71614007,-2.256796233,2163.919117,516.9650809,1065.94976,1646.954036,0.778245686,1.545057843,18.46840548,-0.136827978,0.796583986,-0.018338299
17.96216887,-2.292219807,2156.797768,517.1181184,1063.678002,1639.67965,0.778861702,1.541518812,18.72624214,-0.136174952,0.796756937,-0.017895234
18.21961407,-2.327373444,2150.684835,517.0130806,1061.570332,1633.671755,0.779473024,1.538919943,18.99540521,-0.13046105,0.7969176,-0.017444576
18.45635402,-2.361214567,2143.669219,516.4931149,1058.88515,1627.176104,0.780061521,1.536688001,19.24342554,-0.127943911,0.797122574,-0.017061052
18.72264662,-2.394076023,2136.252714,517.1568727,1056.855486,1619.095841,0.780632982,1.5319936,19.52067196,-0.126048666,0.797277722,-0.01664474
18.96345772,-2.42603559,2128.514287,517.2740579,1054.354134,1611.240229,0.781188759,1.528177466,19.77213625,-0.121917384,0.79746918,-0.016280421
19.21064533,-2.4577704,2122.71141,516.1776703,1051.688917,1606.533739,0.781740627,1.52757504,20.02990213,-0.120505606,0.797673492,-0.015932864
19.45346749,-2.487929622,2116.242127,516.9226677,1050.029154,1599.319459,0.782265096,1.523119099,20.28277736,-0.116740876,0.797800889,-0.015535792
19.71107823,-2.518172342,2109.372271,516.9924534,1047.785726,1592.379818,0.782791017,1.519757121,20.55046901,-0.113311949,0.797973284,-0.015182267
19.95863372,-2.546917251,2105.89683,517.4885653,1046.957987,1588.408265,0.783290891,1.517165239,20.80760613,-0.110941205,0.798036949,-0.014746058
20.21086735,-2.575556359,2098.837601,516.9913853,1044.273457,1581.846216,0.783788925,1.514781598,21.06938613,-0.108346697,0.798243643,-0.014454718
20.45101628,-2.602848639,2095.3175,516.9741128,1043.088575,1578.343387,0.784263538,1.513144161,21.31863249,-0.106259805,0.798334978,-0.01407144
20.70233022,-2.629595325,2088.332533,516.8808455,1040.698075,1571.451687,0.784728663,1.509997689,21.578862,-0.102661559,0.798519441,-0.013790778
20.94502363,-2.655579666,2082.627936,517.303854,1039.078548,1565.324082,0.78518053,1.506454046,21.83021685,-0.099806198,0.798644561,-0.01346403
21.20678522,-2.681421604,2076.414337,516.7887776,1036.663964,1559.625559,0.785629922,1.504465876,22.10059243,-0.096882576,0.798831329,-0.013201408
21.44651723,-2.705625044,2072.364333,517.1851053,1035.578181,1555.179228,0.78605082,1.501749705,22.34839225,-0.093444906,0.798915403,-0.012864583
21.69757366,-2.729234851,2065.888166,516.9557625,1033.266564,1548.932404,0.786461394,1.499063705,22.60731861,-0.092026432,0.799094576,-0.012633182
21.95211878,-2.75271312,2060.862516,517.3603266,1031.861056,1543.502189,0.786869681,1.49584305,22.86968982,-0.088401491,0.799203639,-0.012333958
22.20107219,-2.775817937,2056.463415,516.9043433,1030.090701,1539.559072,0.787271474,1.494585934,23.12634483,-0.087456307,0.799341144,-0.01206967
22.45593613,-2.797568493,2052.605915,517.532599,1029.223704,1535.073316,0.787649716,1.491486554,23.38845896,-0.084955569,0.799408537,-0.011758821
22.69346701,-2.818947312,2046.349595,517.1704864,1026.896856,1529.179109,0.788021494,1.489126293,23.63311612,-0.081799554,0.799589582,-0.011568089
22.94045842,-2.839125138,2044.159208,517.6318358,1026.474293,1526.527372,0.788372386,1.487155969,23.88683347,-0.080159555,0.799622488,-0.011250102
23.19779326,-2.859634667,2035.585581,517.6429174,1023.623805,1517.942664,0.788729047,1.482910671,24.15100481,-0.076454647,0.79984468,-0.011115633
23.44689382,-2.879183973,2031.937116,517.2060177,1022.116384,1514.731099,0.789069009,1.4819556,24.40662181,-0.073733156,0.799962337,-0.010893327
23.69421018,-2.897459655,2026.645321,517.2390401,1020.374467,1509.406281,0.789386823,1.479267004,24.66003007,-0.0714744,0.80009843,-0.010711607
23.94502137,-2.915061065,2022.708489,517.4961272,1019.233581,1505.212362,0.789692912,1.476808054,24.91670839,-0.068926857,0.800187644,-0.010494732
24.18978713,-2.932267292,2016.327783,517.3122165,1016.984072,1499.015567,0.789992128,1.473981361,25.16720956,-0.062853658,0.800363731,-0.010371602
24.3719528,-2.944444789,2011.815946,517.753283,1015.774171,1494.062663,0.790203895,1.47086105,25.35343439,-0.068665442,0.800458539,-0.010254644
24.61652236,-2.956670897,2012.153755,517.3137143,1015.593728,1494.840041,0.790416507,1.471887823,25.60207933,-0.069832791,0.800472684,-0.010056177
24.87174805,-2.980185768,2003.646384,516.8565497,1012.453161,1486.789834,0.790825431,1.468502338,25.8651433,-0.068225515,0.800719135,-0.009893704
25.11352176,-2.998311612,1996.053258,516.8430859,1009.913143,1479.210172,0.791140639,1.464690485,26.11295896,-0.069813814,0.800918805,-0.009778166
25.36693872,-3.013907936,1988.51686,516.2299413,1006.992247,1472.286918,0.791411859,1.462063806,26.3715747,-0.059441699,0.801148801,-0.009736942
25.61819749,-3.028267809,1980.612793,516.3268067,1004.422135,1464.285986,0.791661577,1.457839224,26.62762009,-0.053511692,0.801351518,-0.009689941
25.87266289,-3.040884526,1976.386178,516.750905,1003.295996,1459.635273,0.791880982,1.454840126,26.88629107,-0.049369113,0.801440443,-0.009559461
26.11316131,-3.052775501,1970.19243,516.8326787,1001.285929,1453.359751,0.792087766,1.451493234,27.13075314,-0.046056299,0.801599322,-0.009511556
26.37096212,-3.064305034,1961.684319,516.9646977,998.5379047,1444.719621,0.792288265,1.446835032,27.39239713,-0.042489691,0.80181685,-0.009528585
26.62408478,-3.075317567,1954.047078,516.6796256,995.8021099,1437.367453,0.792479772,1.4434268,27.64919064,-0.038418817,0.802033779,-0.009554006
26.87580952,-3.084120274,1949.592172,516.7956686,994.3945029,1432.796503,0.792632852,1.440873314,27.90384961,-0.034516422,0.802145536,-0.009512684
27.12181993,-3.092029671,1944.794558,516.7480655,992.763563,1428.046492,0.792770396,1.438455787,28.15249648,-0.029646016,0.802275147,-0.009504751
27.36841894,-3.099134402,1938.391375,516.7811914,990.6512525,1421.610183,0.792893947,1.435025878,28.40146374,-0.026662924,0.80244321,-0.009549262
27.63025411,-3.105444191,1929.989356,516.496908,987.6610575,1413.492448,0.793003674,1.431151343,28.66540217,-0.022942939,0.8026815,-0.009677825
27.87785865,-3.11107742,1925.892907,516.7744052,986.4805723,1409.118501,0.793101636,1.428430058,28.91488445,-0.020999415,0.802775696,-0.00967406
28.13806904,-3.115525097,1919.854111,516.2914667,984.1456814,1403.562644,0.793178981,1.426173656,29.1765774,-0.019969171,0.802962215,-0.009783233
28.3404985,-3.119691399,1915.144184,516.394205,982.6441979,1398.749979,0.793251433,1.423455185,29.38039563,-0.018051188,0.803082303,-0.009830869
